x U u
6.993987975951903024e-01 9.026966242350663305e-02 9.026823151357157848e-02
7.014028056112223686e-01 9.045762335737451976e-02 9.045619361657412927e-02
7.034068136272544347e-01 9.064719384462391338e-02 9.064576528890948282e-02
7.054108216432865008e-01 9.083843025704069207e-02 9.083700290172502800e-02
7.074148296593185670e-01 9.103138915016298349e-02 9.102996300991798850e-02
7.094188376753506331e-01 9.122612725559063607e-02 9.122470234444506054e-02
7.114228456913826992e-01 9.142270147326665708e-02 9.142127780460376774e-02
7.134268537074147654e-01 9.162116886373203317e-02 9.161974645028751751e-02
7.154308617234468315e-01 9.182158664035504347e-02 9.182016549421506690e-02
7.174348697394788976e-01 9.202401216153634211e-02 9.202259229413552177e-02
7.194388777555109638e-01 9.222850292289110075e-02 9.222708434501075692e-02
7.214428857715430299e-01 9.243511654940936295e-02 9.243369927117581208e-02
7.234468937875750960e-01 9.264391078759583176e-02 9.264249481847876277e-02
7.254509018036071621e-01 9.285494349759049193e-02 9.285352884640148130e-02
7.274549098196392283e-01 9.306827264527119115e-02 9.306685932016221796e-02
7.294589178356712944e-01 9.328395629433934577e-02 9.328254430280165377e-02
7.314629258517033605e-01 9.350205259839029781e-02 9.350064194725311861e-02
7.334669338677354267e-01 9.372261979296936385e-02 9.372121048839879287e-02
7.354709418837674928e-01 9.394571618761478338e-02 9.394430823511286388e-02
7.374749498997995589e-01 9.417140015788910690e-02 9.416999356229302509e-02
7.394789579158316251e-01 9.439973013740000918e-02 9.439832490288115052e-02
7.414829659318636912e-01 9.463076460981192928e-02 9.462936073987537888e-02
7.434869739478957573e-01 9.486456210084977247e-02 9.486315959833369060e-02
7.454909819639278235e-01 9.510118117029593698e-02 9.509978003737110108e-02
7.474949899799598896e-01 9.534068040398198385e-02 9.533928064215145548e-02
7.494989979959919557e-01 9.558311840577606022e-02 9.558172001587501854e-02
7.515030060120240218e-01 9.582855378956767201e-02 9.582715677176308067e-02
7.535070140280560880e-01 9.607704517125059684e-02 9.607564952504138445e-02
7.555110220440881541e-01 9.632865116070571387e-02 9.632725688492281557e-02
7.575150300601202202e-01 9.658343035378463837e-02 9.658203744659105139e-02
7.595190380761522864e-01 9.684144132429570173e-02 9.684004978318688783e-02
7.615230460921843525e-01 9.710274261599326218e-02 9.710135243779763337e-02
7.635270541082164186e-01 9.736739273457202526e-02 9.736600391545117972e-02
7.655310621242484848e-01 9.763545013966709596e-02 9.763406267511667846e-02
7.675350701402805509e-01 9.790697323686159415e-02 9.790558712171192057e-02
7.695390781563125060e-01 9.818202036970267998e-02 9.818063559811951446e-02
7.715430861723445721e-01 9.846064981172752972e-02 9.845926637721306995e-02
7.735470941883766383e-01 9.874291975850028880e-02 9.874153765389419302e-02
7.755511022044087044e-01 9.902888831966147332e-02 9.902750753714194276e-02
