x y U
0.195 0.412 -0.027
0.220 0.412 -0.028
0.244 0.412 -0.028
0.268 0.412 -0.028
0.293 0.412 -0.027
0.317 0.412 -0.026
0.341 0.412 -0.024
0.366 0.412 -0.021
0.390 0.412 -0.018
0.415 0.412 -0.015
0.439 0.412 -0.011
0.463 0.412 -0.006
0.488 0.412 -0.002
0.512 0.412 0.002
0.537 0.412 0.006
0.561 0.412 0.011
0.585 0.412 0.015
0.610 0.412 0.018
0.634 0.412 0.021
0.659 0.412 0.024
0.683 0.412 0.026
0.707 0.412 0.027
0.732 0.412 0.028
0.756 0.412 0.028
0.780 0.412 0.028
0.805 0.412 0.027
0.829 0.412 0.025
0.854 0.412 0.023
0.878 0.412 0.020
0.902 0.412 0.016
0.927 0.412 0.013
0.951 0.412 0.009
0.976 0.412 0.004
0.024 0.431 -0.004
0.049 0.431 -0.007
0.073 0.431 -0.010
0.098 0.431 -0.014
0.122 0.431 -0.016
0.146 0.431 -0.019
0.171 0.431 -0.021
0.195 0.431 -0.022
0.220 0.431 -0.023
0.244 0.431 -0.024
0.268 0.431 -0.023
0.293 0.431 -0.023
0.317 0.431 -0.021
0.341 0.431 -0.020
0.366 0.431 -0.018
0.390 0.431 -0.015
0.415 0.431 -0.012
0.439 0.431 -0.009
0.463 0.431 -0.005
0.488 0.431 -0.002
0.512 0.431 0.002
0.537 0.431 0.005
0.561 0.431 0.009
0.585 0.431 0.012
0.610 0.431 0.015
0.634 0.431 0.018
0.659 0.431 0.020
0.683 0.431 0.021
0.707 0.431 0.023
0.732 0.431 0.023
0.756 0.431 0.024
0.780 0.431 0.023
0.805 0.431 0.022
0.829 0.431 0.021
0.854 0.431 0.019
0.878 0.431 0.016
0.902 0.431 0.014
0.927 0.431 0.010
0.951 0.431 0.007
0.976 0.431 0.004
0.024 0.451 -0.003
0.049 0.451 -0.006
0.073 0.451 -0.009
0.098 0.451 -0.011
0.122 0.451 -0.013
0.146 0.451 -0.015
0.171 0.451 -0.017
0.195 0.451 -0.018
0.220 0.451 -0.019
0.244 0.451 -0.019
0.268 0.451 -0.019
0.293 0.451 -0.019
0.317 0.451 -0.018
0.341 0.451 -0.016
0.366 0.451 -0.015
0.390 0.451 -0.012
0.415 0.451 -0.010
0.439 0.451 -0.007
0.463 0.451 -0.004
0.488 0.451 -0.001
0.512 0.451 0.001
0.537 0.451 0.004
0.561 0.451 0.007
0.585 0.451 0.010
0.610 0.451 0.012
0.634 0.451 0.015
0.659 0.451 0.016
0.683 0.451 0.018
0.707 0.451 0.019
0.732 0.451 0.019
0.756 0.451 0.019
0.780 0.451 0.019
0.805 0.451 0.018
0.829 0.451 0.017
0.854 0.451 0.015
0.878 0.451 0.013
0.902 0.451 0.011
0.927 0.451 0.009
0.951 0.451 0.006
0.976 0.451 0.003
0.024 0.471 -0.002
0.049 0.471 -0.005
0.073 0.471 -0.007
0.098 0.471 -0.009
0.122 0.471 -0.011
0.146 0.471 -0.013
0.171 0.471 -0.014
0.195 0.471 -0.015
0.220 0.471 -0.016
0.244 0.471 -0.016
0.268 0.471 -0.016
0.293 0.471 -0.016
0.317 0.471 -0.015
0.341 0.471 -0.014
0.366 0.471 -0.012
0.390 0.471 -0.010
0.415 0.471 -0.008
0.439 0.471 -0.006
0.463 0.471 -0.004
0.488 0.471 -0.001
0.512 0.471 0.001
0.537 0.471 0.004
0.561 0.471 0.006
0.585 0.471 0.008
0.610 0.471 0.010
0.634 0.471 0.012
0.659 0.471 0.014
0.683 0.471 0.015
0.707 0.471 0.016
0.732 0.471 0.016
0.756 0.471 0.016
0.780 0.471 0.016
0.805 0.471 0.015
0.829 0.471 0.014
0.854 0.471 0.013
0.878 0.471 0.011
0.902 0.471 0.009
0.927 0.471 0.007
0.951 0.471 0.005
0.976 0.471 0.002
0.024 0.490 -0.002
0.049 0.490 -0.004
0.073 0.490 -0.006
0.098 0.490 -0.008
0.122 0.490 -0.009
0.146 0.490 -0.011
0.171 0.490 -0.012
0.195 0.490 -0.013
0.220 0.490 -0.013
0.244 0.490 -0.013
0.268 0.490 -0.013
0.293 0.490 -0.013
0.317 0.490 -0.012
0.341 0.490 -0.011
0.366 0.490 -0.010
0.390 0.490 -0.008
0.415 0.490 -0.007
0.439 0.490 -0.005
0.463 0.490 -0.003
0.488 0.490 -0.001
0.512 0.490 0.001
0.537 0.490 0.003
0.561 0.490 0.005
0.585 0.490 0.007
0.610 0.490 0.008
0.634 0.490 0.010
0.659 0.490 0.011
0.683 0.490 0.012
0.707 0.490 0.013
0.732 0.490 0.013
0.756 0.490 0.013
0.780 0.490 0.013
0.805 0.490 0.013
0.829 0.490 0.012
0.854 0.490 0.011
0.878 0.490 0.009
0.902 0.490 0.008
0.927 0.490 0.006
0.951 0.490 0.004
0.976 0.490 0.002
0.024 0.510 -0.002
0.049 0.510 -0.003
0.073 0.510 -0.005
0.098 0.510 -0.006
0.122 0.510 -0.008
0.146 0.510 -0.009
0.171 0.510 -0.010
0.195 0.510 -0.010
0.220 0.510 -0.011
0.244 0.510 -0.011
0.268 0.510 -0.011
0.293 0.510 -0.011
0.317 0.510 -0.010
0.341 0.510 -0.009
0.366 0.510 -0.008
0.390 0.510 -0.007
0.415 0.510 -0.006
0.439 0.510 -0.004
0.463 0.510 -0.003
0.488 0.510 -0.001
0.512 0.510 0.001
0.537 0.510 0.003
0.561 0.510 0.004
0.585 0.510 0.006
0.610 0.510 0.007
0.634 0.510 0.008
0.659 0.510 0.009
0.683 0.510 0.010
0.707 0.510 0.011
0.732 0.510 0.011
0.756 0.510 0.011
0.780 0.510 0.011
0.805 0.510 0.010
0.829 0.510 0.010
0.854 0.510 0.009
0.878 0.510 0.008
0.902 0.510 0.006
0.927 0.510 0.005
0.951 0.510 0.003
0.976 0.510 0.002
0.024 0.529 -0.001
0.049 0.529 -0.003
0.073 0.529 -0.004
0.098 0.529 -0.005
0.122 0.529 -0.006
0.146 0.529 -0.007
0.171 0.529 -0.008
0.195 0.529 -0.009
0.220 0.529 -0.009
0.244 0.529 -0.009
0.268 0.529 -0.009
0.293 0.529 -0.009
0.317 0.529 -0.008
0.341 0.529 -0.008
0.366 0.529 -0.007
0.390 0.529 -0.006
0.415 0.529 -0.005
0.439 0.529 -0.003
0.463 0.529 -0.002
0.488 0.529 -0.001
0.512 0.529 0.001
0.537 0.529 0.002
0.561 0.529 0.003
0.585 0.529 0.005
0.610 0.529 0.006
0.634 0.529 0.007
0.659 0.529 0.008
0.683 0.529 0.008
0.707 0.529 0.009
0.732 0.529 0.009
0.756 0.529 0.009
0.780 0.529 0.009
0.805 0.529 0.009
0.829 0.529 0.008
0.854 0.529 0.007
0.878 0.529 0.006
0.902 0.529 0.005
0.927 0.529 0.004
0.951 0.529 0.003
0.976 0.529 0.001
0.024 0.549 -0.001
0.049 0.549 -0.002
0.073 0.549 -0.003
0.098 0.549 -0.004
0.122 0.549 -0.005
0.146 0.549 -0.006
0.171 0.549 -0.007
0.195 0.549 -0.007
0.220 0.549 -0.007
0.244 0.549 -0.008
0.268 0.549 -0.007
0.293 0.549 -0.007
0.317 0.549 -0.007
0.341 0.549 -0.006
0.366 0.549 -0.006
0.390 0.549 -0.005
0.415 0.549 -0.004
0.439 0.549 -0.003
0.463 0.549 -0.002
0.488 0.549 -0.001
0.512 0.549 0.001
0.537 0.549 0.002
0.561 0.549 0.003
0.585 0.549 0.004
0.610 0.549 0.005
0.634 0.549 0.006
0.659 0.549 0.006
0.683 0.549 0.007
0.707 0.549 0.007
0.732 0.549 0.007
0.756 0.549 0.008
0.780 0.549 0.007
0.805 0.549 0.007
0.829 0.549 0.007
0.854 0.549 0.006
0.878 0.549 0.005
0.902 0.549 0.004
